WellPosition,RLU
A:1,568200
A:2,362100
A:3,469100
A:4,383500
A:5,323500
A:6,377800
A:7,315400
A:8,447500
A:9,145900
A:10,313200
A:11,404000
A:12,80
B:1,679700
B:2,634300
B:3,464000
B:4,580100
B:5,591300
B:6,776800
B:7,569400
B:8,633500
B:9,509300
B:10,502100
B:11,817900
B:12,190
C:1,575100
C:2,470300
C:3,533800
C:4,791900
C:5,755200
C:6,962300
C:7,586300
C:8,659700
C:9,596100
C:10,632700
C:11,798300
C:12,110
D:1,655600
D:2,699500
D:3,622600
D:4,612600
D:5,567400
D:6,681800
D:7,522800
D:8,638100
D:9,469600
D:10,563300
D:11,768100
D:12,150
E:1,611800
E:2,766600
E:3,573300
E:4,641200
E:5,640700
E:6,620800
E:7,558100
E:8,703600
E:9,552800
E:10,652500
E:11,616000
E:12,180
F:1,140
F:2,519000
F:3,740100
F:4,692500
F:5,735500
F:6,600300
F:7,646100
F:8,782600
F:9,701200
F:10,656500
F:11,642800
F:12,7703
G:1,130
G:2,642700
G:3,638900
G:4,520800
G:5,654600
G:6,782500
G:7,591300
G:8,525100
G:9,680400
G:10,599700
G:11,735000
G:12,121400
H:1,120
H:2,712600
H:3,756300
H:4,651000
H:5,461200
H:6,744100
H:7,872700
H:8,648200
H:9,436200
H:10,330600
H:11,569100
H:12,258000
